user_id,food,review,rating,count_search,count_order,side_dish,visit_time,day_of_week,price_range,food_category,is_recommended,loyalty_level,keyword,regarding_food,weather,group_size,location_type
1,Gỏi Gà Xé,3,2.8,9,5,N/A,Tối,Thứ 6,Cao,Món chính,0,New,giòn,Sẽ quay lại,Mưa,Gia đình,Tại quán
1,Bún Bò Huế,3,2.3,11,3,Rau Sống,Tối,Thứ 5,Thấp,Món chính,1,Regular,đậm đà,Phù hợp ăn tối,Mưa,Nhóm bạn,Giao tận nơi
1,Gỏi Gà Xé,4,3.37,30,15,N/A,Tối,Thứ 3,Thấp,Món chính,0,VIP,rẻ,Sẽ quay lại,Mát Mẻ,Một mình,Giao tận nơi
1,Lẩu Thái,4,3.52,24,14,Rau Muống,Khuya,Thứ 4,Thấp,Món chính,1,Regular,sạch,Món này rất ngon,Mát Mẻ,Gia đình,Giao tận nơi
1,Tôm Rang Me,2,1.34,13,1,N/A,Sáng,Thứ 5,Cao,Món chính,1,New,nóng,Phục vụ nhanh,Nắng,Gia đình,Mang về
1,Khoai Tây Lắc Phô Mai,4,4.23,11,11,N/A,Khuya,Thứ 3,Trung bình,Khai vị,0,VIP,ngọt,Khá cay,Mưa,Một mình,Tại quán
1,Nem Rán,5,4.29,16,11,Rau Sống,Sáng,Thứ 2,Trung bình,Khai vị,1,New,nhiều topping,Không hợp khẩu vị,Nắng,Gia đình,Tại quán
1,Rau Câu Dừa,2,1.57,26,5,N/A,Sáng,Thứ 5,Thấp,Tráng miệng,1,Regular,nhanh,Sẽ quay lại,Nắng,Gia đình,Mang về
1,Tôm Rang Me,5,3.67,2,1,N/A,Chiều,Thứ 7,Cao,Món chính,0,VIP,nhiều topping,Phù hợp ăn tối,Mát Mẻ,Một mình,Giao tận nơi
1,Kem Dừa,5,3.29,13,2,N/A,Trưa,Thứ 6,Cao,Tráng miệng,0,VIP,đậm đà,Sẽ quay lại,Lạnh,Cặp đôi,Mang về
1,Mì Xào Hải Sản,4,3.64,20,13,Dưa Leo,Chiều,Thứ 2,Cao,Món chính,1,New,lạ,Nước chấm đậm đà,Lạnh,Cặp đôi,Tại quán
1,Cơm Chiên Hải Sản,5,3.59,26,8,Trà Đá,Sáng,Thứ 3,Thấp,Món chính,0,Regular,nóng,Khá cay,Lạnh,Cặp đôi,Giao tận nơi
1,Đậu Hũ Sốt Cà,4,3.96,17,14,N/A,Chiều,Thứ 7,Thấp,Món chính,1,Regular,cay,Không hợp khẩu vị,Lạnh,Gia đình,Mang về
1,Cơm Chiên Dương Châu,4,2.88,24,6,N/A,Tối,Thứ 5,Trung bình,Món chính,0,New,đặc sản,Nước chấm đậm đà,Mát Mẻ,Cặp đôi,Tại quán
1,Pizza Hải Sản,2,1.2,17,0,Pepsi,Trưa,Thứ 2,Trung bình,Món chính,1,VIP,mềm,Không hợp khẩu vị,Nắng,Nhóm bạn,Mang về
